Location,Property_Type,Sqft,BHK,Age,Metro_Dist,Amenities_Score,ROI_Pct,Demand_Index,Price
Kalwar Road,Residential Plot,4499,0,0,2.89,2,13.92,94,17540000.0
Vaishali Nagar,Independent Villa,4479,5,5,9.83,5,8.13,78,41980000.0
Sitapura,Apartment/Flat,1450,1,3,6.54,6,3.66,41,5790000.0
Pratap Nagar,Builder Floor,2498,2,9,4.82,3,7.13,59,12160000.0
Tonk Road,Independent Villa,4371,5,0,7.36,5,5.05,81,32830000.0
C-Scheme,Builder Floor,1183,1,2,11.92,5,5.5,72,18740000.0
Mansarovar,Penthouse,3953,5,15,4.38,7,7.21,52,30110000.0
Tonk Road,Apartment/Flat,1772,1,18,2.3,7,3.97,66,13090000.0
Bapu Nagar,Apartment/Flat,800,1,11,4.31,7,4.14,35,9090000.0
Shyam Nagar,Independent Villa,1777,4,0,3.71,5,5.99,94,16590000.0
Mansarovar,Builder Floor,1283,3,18,7.02,5,7.29,80,9760000.0
Mansarovar,Builder Floor,1026,3,12,5.49,3,5.19,80,8290000.0
Pratap Nagar,Residential Plot,3598,0,15,1.48,2,9.41,87,16150000.0
Tonk Road,Residential Plot,2722,0,17,8.28,2,8.66,94,16680000.0
Sitapura,Residential Plot,2486,0,15,8.74,2,14.42,88,6720000.0
Jagatpura,Penthouse,3109,5,3,9.33,9,8.54,51,20100000.0
Raja Park,Independent Villa,3409,5,19,8.58,9,5.27,62,43750000.0
Jagatpura,Builder Floor,2284,3,6,4.44,7,7.6,97,14120000.0
Ajmer Road,Residential Plot,2881,0,12,1.97,2,12.96,40,15390000.0
Shyam Nagar,Builder Floor,1385,1,8,7.92,4,9.57,45,12260000.0
Ajmer Road,Penthouse,5029,5,18,6.34,7,5.28,70,28380000.0
Shyam Nagar,Builder Floor,655,1,4,9.46,3,8.93,50,5260000.0
Sitapura,Penthouse,4295,5,8,4.99,9,9.51,97,18920000.0
Kalwar Road,Residential Plot,3250,0,5,8.2,1,14.31,49,10920000.0
Malviya Nagar,Independent Villa,2755,3,9,8.39,8,4.39,76,26010000.0
Tonk Road,Penthouse,3774,5,8,3.99,9,4.06,72,27920000.0
Kalwar Road,Penthouse,5897,4,15,10.17,8,7.91,70,24880000.0
Sitapura,Apartment/Flat,948,3,19,3.96,6,5.69,75,4030000.0
Malviya Nagar,Penthouse,3299,4,7,2.53,10,8.9,64,37190000.0
C-Scheme,Apartment/Flat,1439,1,3,2.81,5,4.16,58,24400000.0
Raja Park,Apartment/Flat,1307,3,16,9.46,4,8.18,91,13830000.0
Ajmer Road,Independent Villa,2724,5,1,9.82,9,7.68,60,19790000.0
C-Scheme,Residential Plot,968,0,15,7.49,1,13.09,97,12490000.0
Sitapura,Builder Floor,831,2,4,9.3,4,5.27,43,3620000.0
C-Scheme,Independent Villa,4371,5,17,1.3,5,8.36,37,74420000.0
Pratap Nagar,Builder Floor,1457,3,8,2.68,4,7.67,47,8770000.0
Bapu Nagar,Apartment/Flat,2184,1,11,2.23,5,5.84,73,25910000.0
Ajmer Road,Apartment/Flat,2000,3,10,11.1,4,7.25,40,10240000.0
Civil Lines,Penthouse,4367,5,6,8.1,7,3.56,48,58140000.0
Shyam Nagar,Residential Plot,4393,0,18,0.68,2,9.78,60,35680000.0
Mansarovar,Independent Villa,3589,3,2,0.63,5,8.15,75,28810000.0
Tonk Road,Builder Floor,2388,2,5,4.58,7,6.77,54,17810000.0
Ajmer Road,Residential Plot,1381,0,17,2.99,2,11.76,38,6390000.0
Shyam Nagar,Residential Plot,3432,0,18,3.63,1,6.78,78,27600000.0
Ajmer Road,Builder Floor,1133,1,12,10.93,5,7.12,91,5240000.0
Tonk Road,Penthouse,4711,5,2,1.61,10,4.89,45,36110000.0
Kalwar Road,Penthouse,5483,5,19,8.78,10,9.36,90,24220000.0
Jagatpura,Penthouse,4318,4,9,5.63,9,3.92,39,25650000.0
Pratap Nagar,Builder Floor,700,3,16,10.07,4,8.15,38,3330000.0
Bapu Nagar,Apartment/Flat,1274,1,12,5.58,6,7.33,75,14510000.0
Vaishali Nagar,Penthouse,3530,5,5,2.56,8,4.78,82,36160000.0
Vaishali Nagar,Builder Floor,1363,3,6,3.3,8,3.63,85,14260000.0
Shyam Nagar,Residential Plot,1009,0,5,10.68,3,14.06,36,8100000.0
Raja Park,Penthouse,4409,5,3,3.9,10,4.34,86,56690000.0
Jagatpura,Independent Villa,4269,3,17,3.01,8,3.95,61,23210000.0
Mansarovar,Penthouse,3507,4,0,5.01,8,5.64,83,26580000.0
Raja Park,Penthouse,3209,5,7,1.79,7,5.96,46,35490000.0
Sitapura,Builder Floor,1831,3,15,2.39,4,3.6,76,6810000.0
Jagatpura,Residential Plot,1921,0,13,8.94,1,8.05,97,7870000.0
Pratap Nagar,Residential Plot,1634,0,6,5.19,2,11.07,67,6840000.0
Shyam Nagar,Penthouse,4510,5,2,11.45,9,7.85,73,37800000.0
Mansarovar,Builder Floor,2355,2,10,2.18,8,3.62,59,20470000.0
Shyam Nagar,Residential Plot,2512,0,17,5.63,3,8.82,75,18540000.0
Civil Lines,Penthouse,4352,4,2,2.52,7,6.4,39,57510000.0
Sitapura,Penthouse,5933,4,7,2.54,10,8.74,66,24560000.0
C-Scheme,Penthouse,5746,5,9,6.36,10,6.31,44,87690000.0
Malviya Nagar,Apartment/Flat,2320,2,3,5.08,7,9.39,93,25070000.0
Civil Lines,Residential Plot,3609,0,7,0.77,1,9.88,49,45580000.0
Pratap Nagar,Independent Villa,3376,4,3,2.16,8,4.32,77,18880000.0
Malviya Nagar,Residential Plot,4394,0,7,9.22,3,14.16,67,42810000.0
Vaishali Nagar,Penthouse,4367,4,19,10.82,9,9.21,98,35470000.0
Vaishali Nagar,Apartment/Flat,1438,1,1,2.94,8,7.7,65,13450000.0
Pratap Nagar,Apartment/Flat,2273,1,8,6.55,5,8.66,63,9990000.0
Tonk Road,Penthouse,5134,4,0,11.53,10,4.52,55,36340000.0
Sitapura,Penthouse,4026,5,15,0.12,8,5.93,97,16190000.0
Tonk Road,Independent Villa,3923,4,3,4.82,9,7.52,66,31330000.0
Bapu Nagar,Residential Plot,1380,0,16,1.42,3,8.36,70,15420000.0
Jagatpura,Penthouse,3848,5,5,3.53,10,7.45,85,25750000.0
Mansarovar,Apartment/Flat,1506,2,4,6.66,5,6.62,43,12390000.0
Sitapura,Builder Floor,2354,3,12,11.54,3,9.19,50,8100000.0
Bapu Nagar,Penthouse,3680,5,11,9.9,10,8.83,74,48310000.0
Bapu Nagar,Independent Villa,4345,3,8,8.12,6,3.92,49,53860000.0
Bapu Nagar,Builder Floor,839,3,0,3.95,6,5.49,80,12410000.0
Vaishali Nagar,Independent Villa,3833,3,2,5.69,5,5.69,71,33550000.0
Sitapura,Builder Floor,2372,3,10,10.03,7,6.67,46,8810000.0
Sitapura,Penthouse,4784,4,7,10.84,9,5.38,94,17400000.0
Sitapura,Independent Villa,3489,4,3,3.82,7,6.47,36,16190000.0
Kalwar Road,Apartment/Flat,1880,3,10,10.65,4,3.8,96,7730000.0
Sitapura,Apartment/Flat,1343,1,15,6.31,8,8.69,97,5170000.0
Shyam Nagar,Residential Plot,4053,0,3,3.58,1,8.77,72,31550000.0
Malviya Nagar,Residential Plot,3822,0,10,1.97,3,11.33,46,39540000.0
Sitapura,Apartment/Flat,1221,3,16,1.19,6,6.51,60,5640000.0
Sitapura,Apartment/Flat,1879,1,10,3.35,4,6.29,72,6940000.0
Vaishali Nagar,Independent Villa,3478,5,5,3.29,7,9.16,64,30130000.0
C-Scheme,Apartment/Flat,1553,1,5,9.73,8,5.65,46,25160000.0
Vaishali Nagar,Penthouse,3216,4,1,0.34,9,4.27,47,30000000.0
Civil Lines,Penthouse,5873,5,13,4.17,8,6.96,38,76990000.0
Tonk Road,Apartment/Flat,2023,2,19,8.08,3,6.91,53,12290000.0
Pratap Nagar,Builder Floor,767,3,2,0.68,5,4.98,66,6600000.0
Pratap Nagar,Independent Villa,3428,5,8,3.31,5,8.9,37,19640000.0
Sitapura,Penthouse,3316,4,2,3.06,8,4.94,84,14330000.0
Vaishali Nagar,Independent Villa,1602,4,18,6.33,9,7.58,89,14520000.0
Mansarovar,Apartment/Flat,1850,3,19,8.38,3,4.59,71,12660000.0
Pratap Nagar,Apartment/Flat,612,3,11,7.33,7,8.74,80,4630000.0
Bapu Nagar,Penthouse,4923,4,18,6.11,8,9.71,75,56560000.0
Civil Lines,Independent Villa,2172,3,16,0.69,8,4.46,42,31670000.0
Kalwar Road,Residential Plot,3548,0,12,6.46,2,8.63,42,11920000.0
Sitapura,Penthouse,4116,5,1,8.97,8,8.83,63,17360000.0
C-Scheme,Builder Floor,1225,2,8,6.4,3,8.73,79,20500000.0
Raja Park,Apartment/Flat,630,3,6,11.6,5,6.48,75,7570000.0
Sitapura,Independent Villa,1534,3,13,5.91,6,4.6,78,6670000.0
Kalwar Road,Residential Plot,1190,0,9,9.71,1,8.2,56,2670000.0
Ajmer Road,Apartment/Flat,2260,1,18,9.91,3,6.36,96,10450000.0
Vaishali Nagar,Apartment/Flat,1767,2,2,4.32,8,3.61,46,17760000.0
Shyam Nagar,Apartment/Flat,2360,1,2,4.46,6,3.85,69,20770000.0
Mansarovar,Builder Floor,1710,3,4,4.7,7,6.13,85,13600000.0
Vaishali Nagar,Independent Villa,2474,3,4,6.93,8,6.89,90,22440000.0
Ajmer Road,Apartment/Flat,1981,3,17,11.1,6,9.03,77,11250000.0
Jagatpura,Apartment/Flat,1615,2,13,0.57,5,5.75,54,10100000.0
Vaishali Nagar,Apartment/Flat,1212,1,18,11.52,7,7.95,64,8880000.0
Pratap Nagar,Builder Floor,1267,2,19,6.41,7,8.23,88,6450000.0
Malviya Nagar,Builder Floor,955,2,17,9.86,5,4.32,85,8180000.0
Pratap Nagar,Apartment/Flat,1572,3,13,6.41,6,4.65,41,8520000.0
Jagatpura,Penthouse,5187,5,4,9.57,9,5.43,68,29520000.0
Jagatpura,Builder Floor,566,3,16,2.04,5,8.87,87,4050000.0
Malviya Nagar,Builder Floor,1188,1,14,2.68,6,6.39,53,12520000.0
Raja Park,Independent Villa,4619,3,17,2.01,6,3.51,84,45770000.0
Vaishali Nagar,Builder Floor,554,3,11,1.39,8,6.06,58,7510000.0
Pratap Nagar,Penthouse,5540,5,7,2.02,10,8.35,71,30100000.0
Ajmer Road,Apartment/Flat,1931,3,4,6.36,5,6.01,97,11520000.0
Jagatpura,Penthouse,4898,5,11,1.11,8,4.36,62,30840000.0
Shyam Nagar,Penthouse,4054,4,16,6.46,8,4.47,61,35960000.0
Jagatpura,Independent Villa,3647,5,5,3.31,5,6.41,47,23120000.0
Civil Lines,Builder Floor,1190,1,1,10.29,3,9.45,57,15750000.0
Tonk Road,Residential Plot,2755,0,14,10.86,3,8.19,36,17020000.0
Vaishali Nagar,Builder Floor,2165,3,0,6.62,7,3.68,96,20870000.0
Jagatpura,Builder Floor,1471,2,11,4.42,3,6.29,41,7730000.0
C-Scheme,Penthouse,5640,4,8,0.27,10,6.45,42,90800000.0
Jagatpura,Apartment/Flat,2374,3,17,8.64,8,8.47,70,14080000.0
Tonk Road,Apartment/Flat,768,2,11,5.93,3,5.21,96,5010000.0
Kalwar Road,Residential Plot,2731,0,3,7.68,3,8.43,48,10570000.0
Bapu Nagar,Apartment/Flat,934,3,2,8.61,3,9.0,92,12860000.0
Bapu Nagar,Independent Villa,4815,3,1,9.12,9,9.61,72,57110000.0
Tonk Road,Residential Plot,1574,0,0,9.26,2,10.9,42,10360000.0
Malviya Nagar,Apartment/Flat,1756,3,2,8.09,6,8.24,39,19650000.0
Sitapura,Penthouse,4533,4,16,0.36,9,7.34,95,19130000.0
Raja Park,Independent Villa,4755,5,11,4.75,8,8.17,52,57970000.0
Pratap Nagar,Builder Floor,2005,2,12,6.14,3,3.98,71,9440000.0
Bapu Nagar,Residential Plot,3556,0,14,0.17,3,12.13,51,38610000.0
Bapu Nagar,Residential Plot,2934,0,10,8.32,3,14.08,51,32180000.0
Mansarovar,Residential Plot,2108,0,4,8.19,3,9.8,84,13140000.0
Tonk Road,Residential Plot,922,0,6,3.3,3,8.9,74,5730000.0
Sitapura,Apartment/Flat,1291,1,9,6.84,8,5.36,39,4980000.0
Pratap Nagar,Residential Plot,2492,0,5,3.36,2,11.06,47,11180000.0
Ajmer Road,Residential Plot,3825,0,10,0.36,3,9.79,62,21050000.0
Sitapura,Builder Floor,1814,2,18,9.5,5,9.05,36,6200000.0
Malviya Nagar,Builder Floor,2344,1,12,3.25,4,5.73,52,23280000.0
Kalwar Road,Independent Villa,3078,3,6,6.95,7,7.11,90,14850000.0
Kalwar Road,Independent Villa,2972,3,4,9.58,7,4.64,77,13660000.0
Bapu Nagar,Apartment/Flat,1236,3,8,4.93,4,6.65,40,15750000.0
C-Scheme,Builder Floor,2203,1,12,0.5,7,5.31,71,35890000.0
C-Scheme,Independent Villa,3483,5,11,8.32,7,7.56,80,55620000.0
Mansarovar,Residential Plot,3409,0,18,4.98,2,7.1,58,22400000.0
Ajmer Road,Apartment/Flat,1187,3,17,0.57,8,6.9,87,8340000.0
C-Scheme,Penthouse,4762,4,10,7.68,7,6.56,81,76510000.0
Bapu Nagar,Independent Villa,3098,3,2,7.65,8,5.55,58,38350000.0
Mansarovar,Apartment/Flat,777,2,12,10.25,7,3.76,87,6240000.0
Malviya Nagar,Residential Plot,1924,0,9,2.76,3,11.16,90,17390000.0
Malviya Nagar,Builder Floor,2027,3,19,11.88,6,4.95,60,19190000.0
Civil Lines,Apartment/Flat,1108,1,18,0.9,6,8.1,39,15180000.0
Kalwar Road,Independent Villa,2760,3,13,1.86,7,7.07,53,13490000.0
Bapu Nagar,Builder Floor,927,1,0,10.67,3,6.13,69,10040000.0
Mansarovar,Builder Floor,1567,2,4,7.8,5,9.71,66,12770000.0
Pratap Nagar,Apartment/Flat,2278,2,16,4.95,6,4.67,91,10840000.0
Pratap Nagar,Penthouse,5894,5,16,1.89,7,6.24,98,31650000.0
Malviya Nagar,Independent Villa,1966,5,11,11.74,8,6.67,57,21820000.0
Civil Lines,Builder Floor,1268,3,4,1.21,3,8.24,66,18650000.0
Raja Park,Independent Villa,1782,4,12,9.49,5,4.66,35,20390000.0
Bapu Nagar,Builder Floor,572,3,7,8.13,4,5.55,91,7900000.0
Civil Lines,Builder Floor,2400,1,0,6.14,3,9.24,62,30790000.0
Malviya Nagar,Residential Plot,4163,0,2,6.69,3,12.31,80,37580000.0
Pratap Nagar,Apartment/Flat,1800,1,0,3.86,5,7.36,93,10440000.0
Mansarovar,Penthouse,5410,5,16,1.96,10,6.57,86,38900000.0
Vaishali Nagar,Residential Plot,1439,0,18,6.81,1,10.47,71,9160000.0
Tonk Road,Independent Villa,4498,5,14,2.03,7,6.84,55,31560000.0
Pratap Nagar,Apartment/Flat,2328,1,17,5.92,6,4.51,86,10680000.0
C-Scheme,Builder Floor,2036,3,18,5.84,5,4.07,38,34690000.0
Malviya Nagar,Independent Villa,2125,5,14,3.65,5,6.46,53,24260000.0
Shyam Nagar,Apartment/Flat,2288,2,9,11.51,3,7.73,68,18010000.0
Malviya Nagar,Apartment/Flat,2230,2,2,11.5,5,5.89,48,23340000.0
Tonk Road,Independent Villa,4160,3,3,0.31,9,6.82,66,28940000.0
Shyam Nagar,Residential Plot,3450,0,5,8.54,1,6.53,83,27590000.0
Pratap Nagar,Penthouse,5699,5,15,8.67,7,7.24,62,30060000.0
Kalwar Road,Apartment/Flat,1553,2,9,11.66,4,6.13,92,5910000.0
Vaishali Nagar,Penthouse,3180,5,6,4.22,9,9.16,81,28860000.0
Jagatpura,Independent Villa,3852,5,3,3.24,8,6.6,79,24590000.0
Ajmer Road,Builder Floor,631,3,2,6.72,3,9.43,83,4540000.0
Sitapura,Penthouse,4333,4,18,0.87,10,7.15,59,16630000.0
Jagatpura,Penthouse,5743,5,11,5.2,10,5.65,92,35370000.0
Bapu Nagar,Independent Villa,1688,3,1,3.09,5,5.27,73,24330000.0
Vaishali Nagar,Penthouse,4531,5,12,5.21,7,3.73,72,39230000.0
Pratap Nagar,Residential Plot,1541,0,17,7.42,3,10.56,47,5350000.0
Kalwar Road,Apartment/Flat,1226,3,7,10.17,4,4.98,87,5410000.0
Raja Park,Penthouse,3768,4,5,10.42,9,7.8,88,44790000.0
Tonk Road,Apartment/Flat,1359,2,18,10.65,6,4.46,87,8900000.0
Tonk Road,Residential Plot,3987,0,9,2.92,1,14.1,88,24560000.0
Kalwar Road,Builder Floor,2206,1,7,1.28,5,5.38,79,8920000.0
Raja Park,Apartment/Flat,2469,3,14,6.43,5,8.36,94,26700000.0
Ajmer Road,Residential Plot,1392,0,6,8.83,3,13.74,96,6820000.0
Raja Park,Apartment/Flat,1421,2,0,7.55,7,7.43,41,17310000.0
Vaishali Nagar,Penthouse,3514,4,17,6.82,8,8.47,63,31010000.0
Tonk Road,Penthouse,3837,4,13,1.72,7,9.77,97,29990000.0
Mansarovar,Residential Plot,4061,0,2,1.88,1,7.18,79,27290000.0
Jagatpura,Penthouse,4908,4,0,2.81,9,5.63,41,31830000.0
Mansarovar,Apartment/Flat,1872,2,9,11.28,8,7.25,71,14200000.0
Bapu Nagar,Apartment/Flat,2188,2,4,8.35,3,7.18,47,30460000.0
Kalwar Road,Independent Villa,2686,3,11,11.77,9,8.44,78,12160000.0
Vaishali Nagar,Residential Plot,4210,0,0,0.76,1,6.78,46,37070000.0
Pratap Nagar,Builder Floor,2205,1,7,3.95,3,5.33,84,10540000.0
Vaishali Nagar,Builder Floor,1572,3,9,2.51,4,3.55,84,15530000.0
Sitapura,Residential Plot,2041,0,2,3.63,2,7.76,77,7100000.0
Vaishali Nagar,Penthouse,4303,5,0,11.61,8,6.26,91,39170000.0
Kalwar Road,Residential Plot,4496,0,2,0.68,1,12.97,48,16820000.0
Raja Park,Independent Villa,3954,5,2,2.39,8,5.58,79,50480000.0
Vaishali Nagar,Penthouse,4316,4,1,1.79,8,3.76,61,38320000.0
Malviya Nagar,Penthouse,3872,5,10,8.75,10,7.03,41,39700000.0
Sitapura,Residential Plot,1185,0,2,11.61,1,8.44,40,2800000.0
Tonk Road,Residential Plot,1974,0,5,3.93,3,13.3,45,13650000.0
C-Scheme,Penthouse,3758,4,17,4.17,8,8.7,53,60370000.0
Shyam Nagar,Residential Plot,4009,0,18,11.91,3,11.6,81,31320000.0
C-Scheme,Penthouse,3632,5,5,2.52,10,6.93,90,64300000.0
Pratap Nagar,Penthouse,5060,4,14,0.49,8,5.65,82,25630000.0
Sitapura,Residential Plot,1193,0,15,7.05,2,7.4,98,2510000.0
C-Scheme,Independent Villa,2882,3,0,1.6,5,9.06,88,43900000.0
C-Scheme,Independent Villa,4055,4,8,8.31,9,8.32,35,64600000.0
Vaishali Nagar,Apartment/Flat,2141,3,13,4.52,3,3.86,39,18650000.0
Civil Lines,Apartment/Flat,1539,1,1,5.53,8,7.58,79,21860000.0
Civil Lines,Builder Floor,1460,1,14,1.94,6,5.88,98,20720000.0
C-Scheme,Independent Villa,4921,4,3,8.92,7,4.88,48,76690000.0
Mansarovar,Builder Floor,740,2,3,9.35,5,5.8,77,5900000.0
Shyam Nagar,Residential Plot,1881,0,3,2.96,3,10.52,73,14600000.0
Jagatpura,Builder Floor,2317,1,19,2.46,5,4.61,39,12150000.0
Civil Lines,Residential Plot,3869,0,17,8.14,3,12.64,78,49980000.0
Sitapura,Penthouse,3885,4,10,1.55,9,8.07,48,17290000.0
Sitapura,Independent Villa,1649,3,9,5.86,7,9.7,90,7400000.0
Mansarovar,Penthouse,3334,4,4,8.86,7,4.6,67,26790000.0
Mansarovar,Penthouse,4997,5,11,6.16,10,4.77,47,40810000.0
Shyam Nagar,Residential Plot,4434,0,6,9.81,2,9.12,76,33520000.0
Raja Park,Apartment/Flat,1424,1,0,6.28,7,4.25,57,17230000.0
Jagatpura,Apartment/Flat,1686,3,0,9.02,4,5.78,65,10910000.0
Bapu Nagar,Penthouse,5174,4,9,10.61,7,7.24,50,61940000.0
Ajmer Road,Penthouse,4152,5,13,0.67,8,6.37,39,28020000.0
Civil Lines,Residential Plot,2652,0,6,10.72,2,8.37,99,34600000.0
Jagatpura,Builder Floor,1858,3,15,8.88,6,7.63,68,12050000.0
Ajmer Road,Independent Villa,4800,4,6,6.55,7,5.68,43,27530000.0
Malviya Nagar,Residential Plot,1044,0,10,7.92,2,8.33,79,8950000.0
Kalwar Road,Builder Floor,2295,3,11,2.96,8,3.86,63,10510000.0
Tonk Road,Apartment/Flat,1443,3,13,3.11,4,7.59,49,11000000.0
Ajmer Road,Builder Floor,2115,2,4,4.3,5,8.83,98,13530000.0
Ajmer Road,Builder Floor,2091,1,12,11.31,5,7.14,83,10590000.0
Raja Park,Builder Floor,1837,2,19,4.5,3,4.89,38,21270000.0
Vaishali Nagar,Independent Villa,2253,3,6,9.52,7,4.93,39,20100000.0
Mansarovar,Penthouse,3429,4,10,0.69,7,9.35,91,26430000.0
Malviya Nagar,Independent Villa,2499,5,4,2.03,8,6.35,69,28040000.0
Bapu Nagar,Independent Villa,4066,4,1,3.71,5,7.31,93,54780000.0
Bapu Nagar,Penthouse,4833,5,0,1.54,10,5.45,35,62450000.0
Ajmer Road,Penthouse,5068,5,10,4.34,9,9.42,92,31360000.0
Malviya Nagar,Independent Villa,2447,5,2,0.6,7,5.47,80,27570000.0
Tonk Road,Independent Villa,3475,3,1,11.05,8,3.91,41,24540000.0
Kalwar Road,Builder Floor,2036,1,5,6.72,8,7.03,75,9570000.0
Tonk Road,Residential Plot,1340,0,15,0.96,1,11.03,36,8550000.0
Vaishali Nagar,Apartment/Flat,1446,3,12,5.68,4,6.85,86,12340000.0
Sitapura,Apartment/Flat,1048,1,15,1.06,7,5.11,66,4280000.0
Tonk Road,Residential Plot,2216,0,5,7.53,2,7.45,70,13640000.0
Ajmer Road,Builder Floor,2377,2,12,8.29,8,6.29,74,13540000.0
Bapu Nagar,Residential Plot,1685,0,1,5.81,2,11.74,88,20600000.0
Tonk Road,Independent Villa,3893,3,9,11.46,5,9.57,77,26460000.0
Malviya Nagar,Residential Plot,1206,0,14,5.16,2,12.65,38,11050000.0
Raja Park,Builder Floor,1910,3,8,3.14,5,3.64,62,21850000.0
Jagatpura,Residential Plot,2601,0,18,8.13,2,8.6,49,10930000.0
Malviya Nagar,Builder Floor,2183,1,15,6.28,5,6.97,38,23420000.0
Jagatpura,Builder Floor,1116,2,9,1.45,7,5.08,56,7470000.0
Shyam Nagar,Penthouse,5009,4,18,2.32,8,6.32,50,41370000.0
Shyam Nagar,Residential Plot,3759,0,3,0.96,3,9.77,63,33190000.0
Malviya Nagar,Builder Floor,1369,1,18,11.5,4,7.74,93,11690000.0
Vaishali Nagar,Independent Villa,2178,5,3,11.59,5,6.46,89,19690000.0
Jagatpura,Penthouse,5048,4,9,10.04,8,5.14,51,27610000.0
Bapu Nagar,Apartment/Flat,1493,1,1,11.45,6,4.9,42,18530000.0
Mansarovar,Builder Floor,513,3,18,3.21,4,7.26,53,4250000.0
Ajmer Road,Builder Floor,2017,3,6,4.16,5,6.03,58,12530000.0
Bapu Nagar,Independent Villa,3615,5,16,2.53,7,4.61,76,42150000.0
Bapu Nagar,Independent Villa,4613,5,8,4.86,6,4.36,40,59560000.0
Shyam Nagar,Residential Plot,1314,0,12,6.77,3,10.13,51,9800000.0
Pratap Nagar,Penthouse,3822,5,15,5.93,7,7.42,84,20320000.0
Sitapura,Apartment/Flat,1618,2,10,1.2,3,4.04,47,6480000.0
Raja Park,Apartment/Flat,2025,1,16,10.13,5,5.1,58,22630000.0
Malviya Nagar,Apartment/Flat,2348,1,17,4.8,6,7.66,50,23320000.0
Mansarovar,Builder Floor,1601,2,9,3.67,7,6.91,69,12720000.0
Tonk Road,Residential Plot,3063,0,14,0.27,3,7.89,54,20350000.0
Shyam Nagar,Penthouse,3369,4,11,2.17,7,7.43,58,28940000.0
Raja Park,Apartment/Flat,2286,2,9,3.79,6,5.2,70,25600000.0
Bapu Nagar,Apartment/Flat,1197,1,14,6.87,7,4.27,59,14880000.0
Bapu Nagar,Independent Villa,3920,4,3,7.21,8,6.45,94,52260000.0
Malviya Nagar,Independent Villa,2192,3,8,5.81,5,5.28,87,24860000.0
Kalwar Road,Builder Floor,1197,3,18,4.0,3,6.57,69,4520000.0
Malviya Nagar,Independent Villa,1827,3,3,10.24,5,5.27,42,18310000.0
Bapu Nagar,Residential Plot,3890,0,6,5.79,1,14.15,63,44740000.0
Vaishali Nagar,Penthouse,3342,4,14,7.99,7,7.07,97,27980000.0
Shyam Nagar,Independent Villa,4777,5,3,6.89,8,8.36,90,44260000.0
Raja Park,Penthouse,4622,4,8,0.12,9,9.46,96,56230000.0
Bapu Nagar,Apartment/Flat,2269,3,14,4.23,8,6.9,73,27240000.0
Mansarovar,Penthouse,5005,5,8,11.68,9,9.49,57,39310000.0
Raja Park,Independent Villa,4581,4,18,6.09,5,9.53,74,50380000.0
Pratap Nagar,Penthouse,4201,4,19,7.58,9,8.49,72,24380000.0
Ajmer Road,Residential Plot,3286,0,16,7.32,2,12.38,95,15700000.0
Kalwar Road,Builder Floor,2389,2,5,10.69,7,6.08,58,9700000.0
Vaishali Nagar,Apartment/Flat,896,3,10,6.39,3,8.8,85,7720000.0
Raja Park,Residential Plot,1338,0,4,1.79,3,8.21,39,14790000.0
Ajmer Road,Residential Plot,3592,0,17,2.3,3,7.07,51,18660000.0
Vaishali Nagar,Apartment/Flat,1644,2,2,8.5,6,7.49,50,15940000.0
Civil Lines,Residential Plot,1355,0,3,4.61,2,8.37,98,18060000.0
Pratap Nagar,Independent Villa,4587,5,13,1.31,9,4.32,89,24030000.0
Tonk Road,Apartment/Flat,1035,2,14,1.98,5,4.08,65,8290000.0
C-Scheme,Builder Floor,1559,2,5,6.66,5,9.6,65,26360000.0
Pratap Nagar,Residential Plot,4181,0,10,9.96,2,8.3,35,18440000.0
C-Scheme,Builder Floor,1119,2,19,2.17,4,8.47,84,17390000.0
Tonk Road,Penthouse,4250,4,6,4.0,9,6.84,69,32020000.0
Kalwar Road,Residential Plot,2038,0,5,2.69,1,13.93,48,7420000.0
Kalwar Road,Independent Villa,2312,4,5,5.46,5,4.29,44,11910000.0
Shyam Nagar,Independent Villa,2837,5,5,11.4,9,9.39,64,25830000.0
Malviya Nagar,Penthouse,4501,4,4,7.08,9,6.22,44,46320000.0
C-Scheme,Apartment/Flat,545,1,14,4.98,4,4.42,93,7700000.0
Pratap Nagar,Residential Plot,3532,0,19,9.9,2,7.01,42,15360000.0
Raja Park,Apartment/Flat,2303,1,9,2.58,5,4.44,95,25980000.0
Raja Park,Penthouse,4921,5,8,6.67,8,4.95,46,55980000.0
Tonk Road,Residential Plot,2770,0,5,4.53,2,8.99,78,17780000.0
Vaishali Nagar,Independent Villa,4488,3,12,7.01,6,8.11,75,37320000.0
Bapu Nagar,Residential Plot,2931,0,16,10.24,2,8.27,41,34990000.0
C-Scheme,Builder Floor,981,2,14,8.45,6,7.52,60,14700000.0
Civil Lines,Apartment/Flat,1070,2,0,9.47,8,7.17,89,14840000.0
Vaishali Nagar,Independent Villa,4534,5,13,7.08,5,6.51,69,38700000.0
Malviya Nagar,Builder Floor,527,1,1,3.81,8,6.36,96,6700000.0
Civil Lines,Residential Plot,1117,0,9,4.39,3,9.95,37,13190000.0
Civil Lines,Apartment/Flat,699,3,7,0.68,7,9.7,58,11780000.0
Shyam Nagar,Penthouse,4688,4,14,6.63,7,5.35,61,43780000.0
C-Scheme,Residential Plot,2434,0,19,1.66,3,10.82,38,36110000.0
Bapu Nagar,Apartment/Flat,585,3,3,7.61,8,8.97,53,9260000.0
Pratap Nagar,Residential Plot,3298,0,1,8.43,3,10.88,64,15360000.0
